城市,AQI,PM10,PM2.5
北海,54.5161,50.3875,31.0185
云浮,54.6061,52.0155,33.9382
德宏,54.7152,54.0376,32.5304
日喀则,54.7154,39.2886,20.7442
兴安盟,54.7293,52.2938,27.6258
舟山,54.9946,47.1875,27.7804
曲靖,55.0019,53.8565,30.8942
汕头,55.4688,53.9072,32.5848
铜仁,55.6371,62.9672,25.1902
佳木斯,55.9267,51.2438,32.5801
鸡西,56.0151,58.4725,30.8526
昌都,56.3534,51.7460,21.3510
巴中,56.4255,56.5873,34.5179
玉林,56.4864,53.6760,36.2736
河池,56.8550,56.3506,35.4127
崇左,56.8948,50.6112,35.0550
钦州,57.0359,56.6080,35.6598
广元,57.3968,60.6287,23.3339
漳州,58.0701,61.6390,33.7697
延边,58.2974,50.1047,32.3781
陇南,58.3498,59.5697,31.0127
红河,58.7248,58.4768,36.2784
梧州,58.7259,60.4183,38.8972
潮州,59.2078,52.8163,36.6054
双鸭山,59.5450,59.5761,36.7960
昭通,59.7272,57.8632,30.7024
景德镇,59.8470,63.3880,38.6884
贵阳,59.8899,61.3700,38.1576
贺州,59.9299,61.1195,39.5410
博州,60.2914,66.2962,29.2707
攀枝花,60.3389,68.5751,33.6178
丽水,60.3409,56.4985,37.2201
拉萨,60.5128,61.3284,22.9334
韶关,60.6407,57.6532,39.5907
鹤岗,60.7562,62.3418,34.5697
江门,61.1202,61.1600,37.8548
清远,61.2740,58.3857,38.3869
鹰潭,61.3984,56.8056,38.7267
贵港,61.6056,61.6390,40.2685
东莞,61.6484,54.0663,38.9427
广州,61.7204,60.6930,39.5574
湘西,61.8873,67.2022,38.7434
绥化,61.9944,62.7315,35.6821
上饶,62.9004,67.1944,40.8215
揭阳,62.9472,59.7666,40.1825
抚州,62.9570,62.1976,42.3108
赣州,63.1147,64.5944,43.0932
大庆,63.2491,60.5669,38.6592
六盘水,63.4207,68.5865,39.8382
佛山,63.5699,63.7091,41.0904
齐齐哈尔,63.8609,63.6296,36.1874
南宁,64.0934,69.0113,41.1559
克拉玛依,64.3513,66.1447,32.3754
台州,64.4039,65.4212,39.7841
郴州,65.0024,68.6781,39.7777
遵义,65.3915,70.4947,42.4298
温州,65.6698,71.6312,41.7026
肇庆,65.7989,63.6538,43.2106
来宾,65.8813,63.8781,44.1992
