城市,日期,质量等级,AQI,AQI排名,PM2.5,PM10,So2,No2,Co,O3
兰州,2014-5-17,良,77,71,43,104,39,67,1,44
兰州,2014-5-18,轻度污染,111,149,61,165,33,50,1,46
兰州,2014-5-19,良,56,34,30,63,21,44,1,58
兰州,2014-5-20,轻度污染,103,113,60,149,40,72,2,56
兰州,2014-5-21,良,68,47,34,85,29,36,1,51
兰州,2014-5-22,良,66,52,30,80,16,31,1,51
兰州,2014-5-23,良,76,96,43,96,21,33,1,48
兰州,2014-5-24,重度污染,205,184,118,374,10,33,1,51
兰州,2014-5-25,重度污染,232,182,119,344,20,43,1,59
兰州,2014-5-26,轻度污染,125,131,74,199,29,56,2,65
兰州,2014-5-27,良,85,54,55,111,27,56,1,61
兰州,2014-5-28,良,96,102,61,134,34,68,2,46
兰州,2014-5-29,良,88,58,53,122,35,46,2,53
兰州,2014-5-30,良,66,44,33,83,17,36,1,49
兰州,2014-5-31,良,70,62,41,84,27,37,2,64
兰州,2014-6-1,良,83,126,55,101,27,26,2,60
兰州,2014-6-2,良,85,149,62,86,16,16,1,64
兰州,2014-6-3,良,84,150,61,90,15,16,1,45
兰州,2014-6-4,良,78,107,51,97,18,28,1,47
兰州,2014-6-5,良,80,99,42,108,17,26,2,53
兰州,2014-6-6,良,72,91,37,93,11,15,1,74
兰州,2014-6-7,良,92,135,53,131,31,44,1,45
兰州,2014-6-8,良,74,79,40,96,17,24,1,67
兰州,2014-6-9,良,64,87,34,76,15,26,1,54
兰州,2014-6-10,良,68,103,44,79,21,34,1,46
兰州,2014-6-11,良,82,127,56,106,19,37,1,52
兰州,2014-6-12,良,66,56,45,74,19,29,1,66
兰州,2014-6-13,良,81,80,59,72,11,28,1,53
兰州,2014-6-14,轻度污染,115,124,85,126,27,35,1,66
兰州,2014-6-15,良,83,64,52,109,26,32,1,71
兰州,2014-6-16,良,74,76,36,96,24,28,1,72
兰州,2014-6-17,良,93,142,50,132,34,33,1,61
兰州,2014-6-18,良,74,99,48,92,15,16,1,50
兰州,2014-6-19,良,59,79,40,60,7,21,1,45
兰州,2014-6-20,良,75,162,45,95,20,37,1,33
兰州,2014-6-21,良,89,165,53,122,16,37,1,51
兰州,2014-6-22,良,82,147,41,113,16,37,1,39
兰州,2014-6-23,良,68,94,40,83,12,25,1,47
兰州,2014-6-24,良,62,81,37,66,6,21,1,40
兰州,2014-6-25,轻度污染,106,167,79,117,10,41,1,43
兰州,2014-6-26,良,92,150,63,112,28,48,2,45
兰州,2014-6-27,良,97,171,61,141,11,28,1,48
兰州,2014-6-28,良,60,73,41,56,6,30,1,41
兰州,2014-6-29,良,69,97,42,80,14,38,1,40
兰州,2014-6-30,良,77,95,54,86,15,48,1,39
兰州,2014-7-1,良,78,99,53,92,21,43,1,51
兰州,2014-7-2,良,86,155,57,113,23,48,1,53
兰州,2014-7-3,良,59,59,38,65,8,37,1,56
兰州,2014-7-4,良,84,129,53,111,21,54,1,56
兰州,2014-7-5,良,78,132,44,102,16,42,1,57
兰州,2014-7-6,良,68,120,42,84,9,26,1,52
兰州,2014-7-7,轻度污染,107,165,68,161,9,25,1,53
兰州,2014-7-8,良,60,58,42,58,6,22,1,39
兰州,2014-7-9,优,47,41,32,39,6,22,1,43
兰州,2014-7-10,良,59,68,39,64,9,27,1,40
兰州,2014-7-11,良,85,101,48,118,14,49,1,31
兰州,2014-7-12,良,90,138,48,130,12,36,1,41
兰州,2014-7-13,良,68,115,41,82,12,52,1,35
兰州,2014-7-14,良,73,96,43,94,18,54,1,45
兰州,2014-7-15,良,73,114,43,93,21,41,1,68
兰州,2014-7-16,良,68,109,36,83,16,43,1,54
兰州,2014-7-17,良,69,106,39,87,14,41,1,52
兰州,2014-7-18,良,61,85,36,69,8,31,1,43
兰州,2014-7-19,良,58,83,40,60,10,31,1,45
兰州,2014-7-20,优,49,63,29,50,9,31,1,23
兰州,2014-7-21,良,63,105,38,73,9,25,1,33
兰州,2014-7-22,良,54,69,37,51,5,35,1,24
兰州,2014-7-23,良,65,128,44,63,7,45,1,38
兰州,2014-7-24,良,85,154,60,95,16,52,2,44
兰州,2014-7-25,良,95,168,54,135,16,54,1,50
兰州,2014-7-26,良,82,89,45,112,17,52,1,45
兰州,2014-7-27,良,60,53,36,68,11,34,1,54
兰州,2014-7-28,良,72,80,38,92,15,39,1,44
兰州,2014-7-29,良,80,85,44,108,16,36,1,48
兰州,2014-7-30,良,80,142,50,109,17,40,1,40
兰州,2014-7-31,良,74,124,47,95,10,36,1,30
兰州,2014-8-1,良,71,136,41,91,15,36,1,41
兰州,2014-8-2,轻度污染,105,163,70,157,17,39,1,34
兰州,2014-8-3,良,72,101,44,92,16,26,1,38
兰州,2014-8-4,良,51,34,34,51,10,28,1,31
兰州,2014-8-5,良,84,153,62,81,12,36,1,27
兰州,2014-8-6,优,39,37,26,36,11,27,1,46
兰州,2014-8-7,良,70,141,43,88,18,41,1,51
兰州,2014-8-9,良,81,158,47,108,15,51,1,52
兰州,2014-8-10,良,91,163,50,126,16,56,1,29
兰州,2014-8-11,良,55,61,37,58,11,29,1,48
兰州,2014-8-12,良,55,82,35,54,14,42,1,52
兰州,2014-8-13,良,60,98,33,70,19,44,1,46
兰州,2014-8-14,良,68,145,36,84,19,48,1,63
兰州,2014-8-15,良,84,142,49,116,23,64,1,59
兰州,2014-8-16,良,78,114,42,102,16,46,1,62
兰州,2014-8-17,良,64,102,33,77,18,25,1,61
兰州,2014-8-18,良,86,167,49,116,24,40,1,44
兰州,2014-8-19,良,79,137,39,104,16,31,1,62
兰州,2014-8-20,良,72,106,44,91,17,31,1,48
兰州,2014-8-21,良,91,116,67,104,14,38,2,30
兰州,2014-8-23,良,79,110,53,99,9,39,1,33
兰州,2014-8-24,良,67,135,40,81,20,42,1,47
兰州,2014-8-25,良,81,155,46,107,21,46,1,40
